date,source,rank,brand,model,price,coupon_price,sales_7d,sales_30d,trend,image_url,raw_text
2026-06-06,pc,1,wigomat,W12,11349,,129+件,,蝉联榜首,,
2026-06-06,pc,2,Hauswirt,C9Pro,12999,,160+件,,排名上升,,
2026-06-06,pc,3,Barsetto,百胜图,6999,,440+件,,,,
2026-06-06,pc,4,Delonghi,ECAM,8999,,222+件,,,,
2026-06-06,pc,5,GEMILAI,双瞳,4599,,102+件,,,,
