date,source,rank,brand,model,price,coupon_price,sales_7d,sales_30d,trend,image_url,raw_text
2026-06-03,pc,1,Delonghi,ECAM,8999,,66+件,,蝉联榜首,,
2026-06-03,pc,2,GEMILAI,双瞳,4599,,65+件,,排名上升,,
2026-06-03,pc,3,Hauswirt,C9Pro,12999,,97+件,,,,
2026-06-03,pc,4,wigomat,W12,11349,,161+件,,,,
2026-06-03,pc,5,Barsetto,百胜图,6999,,169+件,,,,
