date,source,rank,brand,model,price,coupon_price,sales_7d,sales_30d,trend,image_url,raw_text
2026-06-07,pc,1,GEMILAI,双瞳商用咖啡机,4599,,300+件,,蝉联榜首8周,,TOP1蝉联榜首8周值得买近7天销售300+件格米莱双瞳商用咖啡机...¥45996期免息
2026-06-07,pc,2,wigomat,W12商用咖啡机,11349,,200+件,,排名上升2位,,TOP2排名上升2位近7天销售200+件wigomatW12商用咖啡机...¥11349
2026-06-07,pc,3,Hauswirt,C9Pro双锅炉咖啡机,12999,,150+件,,霸榜前三,,TOP3霸榜前三值得买近7天销售150+件海氏C9Pro双锅炉咖啡机...¥12999
2026-06-07,pc,4,Delonghi,ECAM,8999,,100+件,,,,TOP4近7天销售100+件Delonghi德龙ECAM...¥8999
2026-06-07,pc,5,Barsetto,百胜图,6999,,80+件,,,,TOP5近7天销售80+件百胜图Barsetto...¥6999
